Location,Scenario,Contextual_Similarity
Graveyard,Investigating a Haunting,0.7741
Theater,Performing an Exorcism,0.7741
On the phone,Having a shouting match with a parrot,0.7741
Beach,Camping Trip Where Everything Goes Wrong,0.7741
Taxi,Agreeing to be a getaway driver for a minor traffic offense,0.7741
Pirate Ship,Trying to convince the group you aren't horribly seasick,0.774
Yacht Party,Wearing a tuxedo to a pool party,0.774
Truck Stop,Negotiating a ride hitchhiking with a very strange driver,0.774
Home Office,Office Holiday Party,0.774
Grocery Store,Making a Scene in a Restaurant,0.774
Hotel Room,Setting off fireworks indoors,0.774
County Fair,Telling a crying child that life isn't fair,0.774
Castle,Discovering a secret room behind a bookcase,0.774
Prison,Getting trapped in a porta-potty,0.774
Spaceship,Defending Earth from aliens using only household appliances,0.774
Wedding Reception,House Party That Got Out of Hand,0.7739
Dorm Room,Camping Trip Where Everything Goes Wrong,0.7739
Prison,Emergency Evacuation,0.7739
Village,Trying to break a curse by kissing a frog,0.7739
Sporting Event,Biting into a fake apple at an open house,0.7739
Underwater,Discovering a secret room behind a bookcase,0.7739
Principal's Office,Office Holiday Party,0.7739
Elementary School Classroom,Spilling red wine on a white carpet,0.7739
Laboratory,Trying to build a time machine out of garbage,0.7739
Spaceship,Trying to build a time machine out of garbage,0.7739
Taxi Cab,Agreeing to be a getaway driver for a minor traffic offense,0.7739
Airplane,Escaping a boring party by crawling through a vent,0.7738
Police Station,Purchasing a haunted antique that won't stop screaming,0.7738
Cave,Setting off fireworks indoors,0.7738
Small Town Street,Playing hide and seek and falling asleep,0.7738
Train Station,Hiding in a retail store until after it closes,0.7738
Diner,Trying to pay for a meal by washing dishes,0.7738
Hospital,Making a Scene in a Restaurant,0.7738
Pub,Starting a Bar Fight,0.7738
International Space Station,Lost in Translation,0.7738
Lake,Trying to break a curse by kissing a frog,0.7738
Backyard,Swimming in a public fountain,0.7737
Maze,Escaping a boring party by crawling through a vent,0.7737
On the phone,Accidentally promising to cook a five-course meal for 20 people,0.7737
Living Room,Accidentally donating your roommate's favorite clothes,0.7736
On the phone,Taking a bite out of a decorative wax apple,0.7736
Submarine,Swimming in a public fountain,0.7736
Waiting Room,Lost in Translation,0.7736
Castle,Purchasing a haunted antique that won't stop screaming,0.7735
Forest,Lost in Translation,0.7735
Police Car,Explaining to a cop why you are driving a stolen ice cream truck,0.7735
Sporting Event,Arriving at a potluck empty-handed,0.7735
Carnival,Swimming in a public fountain,0.7735
Prison Cell,Dropping the bride's ring down a sewer grate,0.7735
Mall,Swimming in a public fountain,0.7735
Rock Concert,Making a Scene in a Restaurant,0.7735
Medieval Castle,Taking a bite out of a decorative wax apple,0.7735
Coffeehouse,Lost in Translation,0.7735
On the phone,Getting your tongue stuck to a frozen pole,0.7735
Underwater,Trying to sneak out of a house party with a stolen bottle of wine,0.7734
Hospital,Setting off fireworks indoors,0.7734
Mall,Lost in Translation,0.7734
Prison Cell,Lost in Translation,0.7734
Spaceship,Playing hide and seek and falling asleep,0.7734
Courtroom,Office Holiday Party,0.7734
Train Station,Walking in on a crime scene,0.7734
Bomb Shelter,Emergency Evacuation,0.7734
Ballroom,Taking a bite out of a decorative wax apple,0.7734
Airplane,Spilling red wine on a white carpet,0.7734
Nightclub,Playing hide and seek and falling asleep,0.7734
Emergency Room,Making a dramatic exit by walking into a closet,0.7734
Zoo,Setting off fireworks indoors,0.7733
Frozen Tundra,Trying to sell ice to an Eskimo,0.7733
Bank,Opening someone else's mail and finding a ransom note,0.7733
Bank,Hiding in a retail store until after it closes,0.7733
Elevator,Negotiating a ride hitchhiking with a very strange driver,0.7733
Haunted House,Discovering a secret room behind a bookcase,0.7733
Teacher's Lounge,Making a Scene in a Restaurant,0.7733
Canal,Dropping the bride's ring down a sewer grate,0.7733
Sporting Event,Taking a bite out of a decorative wax apple,0.7733
Prison,Getting caught trying to steal a souvenir from a sacred temple,0.7733
Courtroom,Trying to pass off a fake painting to an art appraiser,0.7732
Hospital,Attempting to perform open-heart surgery using a YouTube tutorial,0.7732
Car Wash,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7732
Elementary School Classroom,"Calling your teacher ""Mom"" during a college lecture",0.7732
Mall,Trying to escape a maze,0.7732
Skate Park,Kicking a soccer ball into someone's face,0.7732
Dorm Room,Waking up drenched in sweat at a partner's house because their sheets are terrible,0.7732
Gas Station,Negotiating a ride hitchhiking with a very strange driver,0.7732
Ballroom,Wearing a tuxedo to a pool party,0.7732
College Campus,Interrupting a moment of silence with a loud ringtone,0.7732
Living Room,Making a dramatic exit by walking into a closet,0.7732
Sporting Event,Emergency Evacuation,0.7732
Car Accident Site,Accidentally promising to cook a five-course meal for 20 people,0.7732
Camp,Being trapped in a sleeping bag during a bear attack,0.7732
Race Track (Horses),Explaining to your landlord why there is a horse in your apartment,0.7732
Fast Food Restaurant,Passing off store-bought food as your own cooking,0.7731
Emergency Room,Playing hide and seek and falling asleep,0.7731
City,Hiding in a retail store until after it closes,0.7731
Car Accident Site,Trying to hide a dead body in a shallow grave,0.7731
Zoo,Having a shouting match with a parrot,0.7731
Prom,Playing hide and seek and falling asleep,0.7731
Nightclub,Making a dramatic exit by walking into a closet,0.7731
Halloween Party,Investigating a Haunting,0.7731
Clock Tower,Hiding in a retail store until after it closes,0.7731
Sporting Event,Corporate Team-Building Exercise Gone Rogue,0.7731
Casual Dining Restaurant,Walking out of a restaurant without paying and returning out of guilt,0.7731
Prison,Trying to hide a dead body in a shallow grave,0.7731
On the phone,Forgetting a date's name mid-sentence,0.7731
Police Car,Witnessing a bank robbery and asking for an autograph,0.7731
Desert,Trying to start a fire by rubbing two sticks together,0.7731
On the phone,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7731
Underwater,Accidentally destroying a child's sandcastle masterpiece,0.7731
Amusement Park,Purchasing a haunted antique that won't stop screaming,0.7731
Sporting Event,Muddy Festival Camping,0.773
Car Accident Site,Kicking a soccer ball into someone's face,0.773
Emergency Room,Performing an Exorcism,0.773
Ballroom,Dropping the bride's ring down a sewer grate,0.773
Taxi,Buying a supposedly haunted car that just plays bad 80s music,0.773
Beach,Dropping the bride's ring down a sewer grate,0.773
Alley,Navigating a foreign city with a broken map and no language skills,0.773
Museum,Lost in Translation,0.7729
Airport,Biting into a fake apple at an open house,0.7729
Emergency Room,Spitting out terrible food into a napkin while the chef watches,0.7729
Tree House,Playing hide and seek and falling asleep,0.7729
Rock Concert,Interrupting a moment of silence with a loud ringtone,0.7729
Ocean,Swimming in a public fountain,0.7729
Park,Camping Trip Where Everything Goes Wrong,0.7729
Courtroom,Purchasing a haunted antique that won't stop screaming,0.7728
Pool Hall,Office Holiday Party,0.7728
Rock Concert,Playing hide and seek and falling asleep,0.7728
Secret Passageway,Making a dramatic exit by walking into a closet,0.7728
On the phone,Falling Asleep During a Meeting,0.7728
Underwater,Undercover Sting Operation,0.7728
Kitchen,Playing hide and seek and falling asleep,0.7728
Antiques Shop,Accidentally buying a cursed doll at a garage sale,0.7728
Underwater,Being trapped in a sleeping bag during a bear attack,0.7728
Skate Park,Dropping the bride's ring down a sewer grate,0.7728
Secret Passageway,Sneaking into a celebrity's dressing room,0.7727
On the phone,Throwing a temper tantrum in a grocery store,0.7727
Wine Cellar,Making a Scene in a Restaurant,0.7727
House Party,Making a Scene in a Restaurant,0.7727
Train Station,Trying to start a fire by rubbing two sticks together,0.7727
Spaceship,Escaping a boring party by crawling through a vent,0.7727
Airplane,Waking up in a different country with no memory of how you got there,0.7727
Cave,Trying to start a fire by rubbing two sticks together,0.7727
Prom,Biting into a fake apple at an open house,0.7727
Alley,Lost in Translation,0.7727
Museum,Getting caught trying to steal a souvenir from a sacred temple,0.7727
Police Car,Making a Scene in a Restaurant,0.7727
Industrial Factory,Setting off fireworks indoors,0.7727
Taxi Cab,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7727
Alley,Setting off fireworks indoors,0.7727
Bank,Setting off fireworks indoors,0.7727
Bank Vault,Dropping the bride's ring down a sewer grate,0.7727
Restaurant,Passing off store-bought food as your own cooking,0.7726
Used Car Dealership,Trying to hide the fact that you live in your car during a date,0.7726
Car Accident Site,Playing hide and seek and falling asleep,0.7726
Bridge,Playing hide and seek and falling asleep,0.7726
Underwater,Emergency Evacuation,0.7726
Emergency Room,Throwing a temper tantrum in a grocery store,0.7726
Prison Cell,Trying to start a fire by rubbing two sticks together,0.7726
Movie Set,Speaking purely in movie quotes for 24 hours,0.7726
Cruise Ship,Making a Scene in a Restaurant,0.7726
Funeral Home,Trying to hide a dead body in a shallow grave,0.7726
Elevator,Planning a Prison Escape,0.7726
Sporting Event,Pretending to be blind to get a better seat,0.7726
Prison,Negotiating a Ransom,0.7725
Graveyard,Attempting to resurrect a dead houseplant with dark magic,0.7725
Rock Concert,Camping Trip Where Everything Goes Wrong,0.7725
Sporting Event,First Day at a New Job,0.7725
Police Station,Navigating a foreign city with a broken map and no language skills,0.7725
Bank Vault,Setting off fireworks indoors,0.7725
University Lecture Hall,Falling Asleep During a Meeting,0.7725
Airport,Interrupting a moment of silence with a loud ringtone,0.7725
Jungle,Trying to break a curse by kissing a frog,0.7725
Clock Tower,Setting off fireworks indoors,0.7725
Train Station,Trapped in a revolving door with a mime,0.7725
Living Room,Making a Scene in a Restaurant,0.7725
Jungle,Walking in on a crime scene,0.7724
Casino,Lost in Translation,0.7724
Spaceship,Discovering a secret room behind a bookcase,0.7724
Emergency Room,Escaping a boring party by crawling through a vent,0.7724
Camp,Setting off fireworks indoors,0.7724
Birthday Party,Making a Scene in a Restaurant,0.7724
Beach,Setting off fireworks indoors,0.7723
Underwater,Performing an Exorcism,0.7723
Maze,Discovering a secret room behind a bookcase,0.7723
Prison Cell,Trying to arrest a suspect using a citizen's arrest,0.7723
Elevator,Getting Locked Out,0.7723
Laboratory,First Day at a New Job,0.7723
Courtroom,Spilling coffee on a priceless piece of art,0.7722
Nightclub,Trying to use a Jedi mind trick on a stubborn bouncer,0.7722
Online,Walking in on a crime scene,0.7722
Courtroom,Trying to convince a police officer that the speed limit is a suggestion,0.7722
Courtroom,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7722
Greenhouse,Attempting to resurrect a dead houseplant with dark magic,0.7722
Courtroom,First Day at a New Job,0.7722
Police Car,Playing hide and seek and falling asleep,0.7722
College Campus,Walking in on a crime scene,0.7722
Ballroom,Walking in on a crime scene,0.7722
Hospital Room,Playing hide and seek and falling asleep,0.7722
Ice Cream Parlor,Trying to sell ice to an Eskimo,0.7722
Bank Vault,Walking in on a crime scene,0.7722
Movie Set,Trying to start a fire by rubbing two sticks together,0.7721
Taxi Cab,Buying a supposedly haunted car that just plays bad 80s music,0.7721
College Campus,Kicking a soccer ball into someone's face,0.7721
Rooftop,Dropping the bride's ring down a sewer grate,0.7721
Casual Dining Restaurant,Trying to pay for a meal by washing dishes,0.7721
Laboratory,Swimming in a public fountain,0.7721
Rooftop,Making a Scene in a Restaurant,0.7721
Executive's Office,Accidentally sharing your screen during a private rant about the boss,0.7721
Maze,Navigating a foreign city with a broken map and no language skills,0.7721
Water Park,Setting off fireworks indoors,0.7721
Laboratory,Trying to escape a maze,0.7721
City,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7721
Morgue,Murder Mystery Dinner,0.7721
Beach Party,Cleaning Up After a Massive Party,0.7721
Bridge,Making a Scene in a Restaurant,0.772
