Location,Scenario,Similarity
House Fire,House Party That Got Out of Hand,0.6813
Pub,Speed Dating,0.6813
Dystopian World,Escape Room Disaster,0.6813
Amusement Park,Alien Abduction Attempt,0.6812
Mechanic's Shop,Solving a Murder,0.6812
Nursing Home,Starting a Cult,0.6812
Train Station,Losing Your Passport,0.6812
Tattoo Parlor,Causing a Public Scene,0.6812
Video Arcade,Arguing with a Bouncer,0.6812
Beach Party,Running from the Cops,0.6812
University Lecture Hall,"Calling your teacher ""Mom"" during a college lecture",0.6812
Halloween Party,Causing a Public Scene,0.6811
Ice Cream Parlor,Emergency Evacuation,0.6811
Workshop,Starting a Cult,0.6811
Waterfall,Trying to sell ice to an Eskimo,0.6811
Post-Apocalyptic World,Running from the Cops,0.6811
Subway Train,Causing a Public Scene,0.6811
Psychiatric Ward,Firing a Friend,0.6811
Medieval Castle,Taking a bite out of a decorative wax apple,0.681
Zoo,Speed Dating,0.681
Shopping Mall,Extreme Jet Lag,0.681
Carnival Funhouse,Causing a Public Scene,0.681
Hair Salon,First Day at a New Job,0.681
Virtual Reality World,Discovering a Conspiracy,0.6809
On the phone,Giving a presentation with spinach in your teeth,0.6809
Hiking Trail,Evading Arrest,0.6809
Empty Lot,Backing over your neighbor's prized rose bush,0.6809
House Party,Getting Ghosted,0.6809
Black-Tie Event,Negotiating a Ransom,0.6809
Executive's Office,Evading Arrest,0.6809
Post-Apocalyptic World,Performing an Exorcism,0.6808
Bus Station,Getting Stood Up,0.6808
Bomb Shelter,Evading Arrest,0.6808
Medieval Castle,Hacking a Secure System,0.6808
Online,Starting a Cult,0.6808
Fast Food Restaurant,Dealing with a Karen,0.6808
Nightclub,Being challenged to a dance battle by a group of teenagers,0.6808
Farmer's Market,First Day at a New Job,0.6808
Apartment Building,Solving a Murder,0.6808
Island,Trying to escape a maze,0.6808
Fast Food Restaurant,Running from the Cops,0.6807
Flower Shop,Speed Dating,0.6807
House Fire,Trying to start a fire by rubbing two sticks together,0.6807
Casino,Speed Dating,0.6807
House Fire,Losing Your Passport,0.6807
Black-Tie Event,Stealing the Spotlight,0.6807
County Fair,Emergency Evacuation,0.6806
Museum,Trying to escape a maze,0.6806
Park,Emergency Evacuation,0.6806
Haunted House,Running into an Ex,0.6806
Coastal Cliffs,Extreme Jet Lag,0.6806
Circus,Performing an Exorcism,0.6806
Medieval Castle,Extreme Jet Lag,0.6806
Photography Studio,Office Holiday Party,0.6806
Taxi Cab,Extreme Jet Lag,0.6806
Garage Sale,First Day at a New Job,0.6806
Parking Lot,Bumping into a Celebrity,0.6806
Psychiatric Ward,Lost in Translation,0.6805
Psychiatric Ward,Losing Your Passport,0.6805
House Party,Murder Mystery Dinner,0.6805
Ancient Library,Discovering a secret room behind a bookcase,0.6804
Subway Tunnel,Hiding a Fugitive,0.6804
Shopping Mall,Evading Arrest,0.6804
Funeral Home,Amateur Ghost Hunting,0.6804
Home Office,Getting Locked Out,0.6804
Ice Cream Parlor,Trying to escape a maze,0.6804
Salvage Yard,Evading Arrest,0.6804
Rock Concert,Extreme Jet Lag,0.6804
Fast Food Restaurant,Getting Friend-Zoned,0.6804
Underground Storm Shelter,Hiding a Fugitive,0.6804
Rock Concert,Starting a Bar Fight,0.6803
Small Town,Office Holiday Party,0.6803
Virtual Reality World,Lost in Translation,0.6803
Dragon's Lair,Running Out of Gas,0.6803
Underwater,Trying to escape a maze,0.6803
Therapist's Office,Trying to escape a maze,0.6803
Psychiatric Ward,Interrupting a Wedding,0.6802
Principal's Office,Dealing with a Karen,0.6802
Cemetery,Solving a Murder,0.6802
House Fire,Starting a Bar Fight,0.6802
Woods,Running from the Cops,0.6802
Grocery Store,Running into an Ex,0.6802
Haunted House,Murder Mystery Dinner,0.6802
Nursing Home,Causing a Public Scene,0.6802
Police Car,Explaining to a cop why you are driving a stolen ice cream truck,0.6802
Small Town,Messy Divorce,0.6801
Prison,Trying to sell ice to an Eskimo,0.6801
War Zone,Hiding a Fugitive,0.6801
Trailer Park,Office Holiday Party,0.6801
Police Car,Arguing with a Bouncer,0.6801
War Zone,Getting Locked Out,0.6801
Public Restroom,Starting a Bar Fight,0.6801
Taxi,Trying to escape a maze,0.6801
Black-Tie Event,Disastrous First Date,0.6801
Online,Causing a Public Scene,0.68
Online,Getting Locked Out,0.68
Thrift Store,First Day at a New Job,0.68
Waiting Room,Solving a Murder,0.68
Castle,Getting Locked Out,0.68
Amusement Park,Running from the Cops,0.68
International Space Station,Trying to sell ice to an Eskimo,0.68
On the phone,Eating the last slice of pizza after someone else already claimed it,0.68
Horse Racing Track,Evading Arrest,0.68
Beach Party,Interrupting a Wedding,0.68
Old Pick-Up Truck,Performing an Exorcism,0.68
On the phone,Starting a Bar Fight,0.6799
Courthouse,Solving a Murder,0.6799
Virtual Reality World,Starting a Cult,0.6799
Small Town,Firing a Friend,0.6799
Recording Studio,Starting a Cult,0.6799
Elevator,Trapped in a revolving door with a mime,0.6799
University Lecture Hall,Faking expertise in a high-level technical meeting,0.6799
Abandoned Mine,Getting Stood Up,0.6799
On the phone,Hiding a Fugitive,0.6799
Tattoo Parlor,Trying to explain a terrible matching tattoo you just got,0.6798
Hardware Store,Dealing with a Karen,0.6798
Small Town,Starting a Cult,0.6798
Small Town,Messy Breakup,0.6798
Airport,Lost in Translation,0.6798
Empty Lot,Running from the Cops,0.6798
Bank Vault,Planning a Prison Escape,0.6798
Subway Tunnel,Lost in Translation,0.6797
Run-Down Apartment,Staging an Intervention,0.6797
Sporting Event,Solving a Murder,0.6797
Chicken Coop,Hiding a Fugitive,0.6797
Prison Cell,Starting a Bar Fight,0.6797
Garage Sale,Office Holiday Party,0.6797
Cabin In The Woods,Running Out of Gas,0.6796
Halloween Party,Cleaning Up After a Massive Party,0.6796
House Party,Escaping a boring party by crawling through a vent,0.6796
Clock Tower,Trying to escape a maze,0.6796
Prison,Getting trapped in a porta-potty,0.6795
International Space Station,Emergency Evacuation,0.6795
Dorm Room,Lost in Translation,0.6795
Workshop,First Day at a New Job,0.6795
Theater,Performing an Exorcism,0.6795
Black-Tie Event,Running into an Ex,0.6794
Run-Down Apartment,Performing an Exorcism,0.6794
Sporting Event,High-Stakes Poker Game,0.6794
Casual Dining Restaurant,Making a Scene in a Restaurant,0.6794
Hiking Trail,Running into an Ex,0.6794
Cemetery,Performing an Exorcism,0.6794
Shopping Mall,Running into an Ex,0.6794
Post-Apocalyptic World,High-Stakes Poker Game,0.6793
Waiting Room,Evading Arrest,0.6793
On the phone,Defending a prenuptial agreement written on a napkin,0.6793
Farmer's Market,Hiding a Fugitive,0.6793
Outdoor Pool,Emergency Evacuation,0.6793
Public Restroom,Getting Stood Up,0.6793
Clock Tower,Investigating a Haunting,0.6792
Graveyard,Backing over your neighbor's prized rose bush,0.6792
Trailer Park,Lost in Translation,0.6792
Ghost Town,First Day at a New Job,0.6792
Prison,Getting arrested for stealing a traffic cone,0.6792
Graveyard,Getting Ghosted,0.6792
Cemetery,Starting a Cult,0.6792
Abandoned Warehouse,Trying to escape a maze,0.6792
Wedding Reception,Bumping into a Celebrity,0.6791
Post-Apocalyptic World,Solving a Murder,0.6791
Farmer's Market,Getting Friend-Zoned,0.6791
Battlefield,Trying to escape a maze,0.6791
Bridge,Negotiating a Ransom,0.6791
Mall,Trying to escape a maze,0.6791
Pawn Shop,Getting Stood Up,0.679
Horse Racing Track,Emergency Evacuation,0.679
Fast Food Restaurant,Extreme Jet Lag,0.679
Small Town,Getting Locked Out,0.679
Volcano,Running Out of Gas,0.679
Virtual Reality World,Getting Ghosted,0.679
Pharmacy,Lost in Translation,0.679
Amusement Park,Getting Friend-Zoned,0.679
Fast Food Restaurant,Trying to return a half-eaten meal claiming it was poisoned,0.679
Ice Cream Parlor,Causing a Public Scene,0.6789
Shopping Mall,Solving a Murder,0.6789
Elevator,Hacking a Secure System,0.6789
Workshop,Staging an Intervention,0.6789
Taxi,Negotiating a Ransom,0.6789
Underground Storm Shelter,Getting caught building a doomsday device in the garage,0.6789
Cheap Motel,Solving a Murder,0.6788
Prison,Causing a Public Scene,0.6788
International Space Station,Extreme Jet Lag,0.6788
Hotel Room,3am Drunk Food Run,0.6788
Secret Passageway,Evading Arrest,0.6788
Taxi,Speed Dating,0.6787
Ice Cream Parlor,Trying to sell ice to an Eskimo,0.6787
Emergency Room,Firing a Friend,0.6787
Prison Cell,Getting trapped in a porta-potty,0.6787
War Zone,Hacking a Secure System,0.6787
Underwater,Getting Locked Out,0.6787
Fire Station,Causing a Public Scene,0.6787
Moon Base,Alien Abduction Attempt,0.6787
Construction Site,Bumping into a Celebrity,0.6787
Hotel Room,Drunk Calling the Ex,0.6786
Hunting Cabin,Running from the Cops,0.6786
Penthouse Suite,Extreme Jet Lag,0.6786
Liquor Store,Office Holiday Party,0.6786
Hair Salon,Performing an Exorcism,0.6786
Medieval Castle,Investigating a Haunting,0.6786
Flower Shop,Flirting with the Boss,0.6785
Antiques Shop,Amateur Ghost Hunting,0.6785
Ancient Ruins,Solving a Murder,0.6785
Brewery,Starting a Bar Fight,0.6785
Beach,Emergency Evacuation,0.6784
Small Town,Negotiating a Ransom,0.6784
Haunted House,Epic Prank War,0.6784
Nature Hike,First Day at a New Job,0.6784
Liquor Store,Causing a Public Scene,0.6784
Bowling Alley,Arguing with a Bouncer,0.6784
Construction Site,Speed Dating,0.6784
Pool Hall,Emergency Evacuation,0.6784
Nursing Home,Losing Your Passport,0.6784
Deli,Dealing with a Karen,0.6784
Waterfall,Running Out of Gas,0.6783
Subway Train,Lost in Translation,0.6783
Military Base,Hacking a Secure System,0.6783
Hospital Room,Hiding a Fugitive,0.6783
Emergency Room,Disastrous First Date,0.6783
Castle,Trying to escape a maze,0.6783
Empty Lot,Starting a Cult,0.6782
Gas Station,Getting Ghosted,0.6782
Psychiatric Ward,Speed Dating,0.6782
Small Town,Dealing with a Karen,0.6782
War Zone,Evading Arrest,0.6782
Ghost Town,Trying to escape a maze,0.6782
Workshop,Solving a Murder,0.6781
Waiting Room,Running into an Ex,0.6781
Mechanic's Shop,First Day at a New Job,0.6781
Secret Passageway,Solving a Murder,0.6781
Jungle,Extreme Jet Lag,0.6781
Birthday Party,Performing an Exorcism,0.6781
Parking Lot,Losing Your Passport,0.6781
Tattoo Parlor,Emergency Evacuation,0.6781
Living Room,Causing a Public Scene,0.6781
Police Car,First Day at a New Job,0.6781
Rock Concert,Running into an Ex,0.678
Hiking Trail,Hiding a Fugitive,0.678
Secret Passageway,Delivering a pizza to a supervillain's secret lair,0.678
Workshop,Performing an Exorcism,0.678
Airport,Attempting to bring a sword through airport security,0.678
Boarding School,Murder Mystery Dinner,0.678
Bonfire,Running Out of Gas,0.678
Funeral Home,Interrupting a Wedding,0.6779
Teacher's Lounge,Office Holiday Party,0.6779
Ice Cream Parlor,Murder Mystery Dinner,0.6779
Cavern,Trying to escape a maze,0.6779
Nursing Home,Arguing with a Bouncer,0.6779
Fast Food Restaurant,Scamming the Scammer,0.6779
Beach Party,Flirting with the Boss,0.6779
Black-Tie Event,Hiding a Fugitive,0.6779
Cheap Motel,Running Out of Gas,0.6779
Elevator,Trying to start a fire by rubbing two sticks together,0.6779
Man Cave,Starting a Bar Fight,0.6778
Virtual Reality World,Getting Locked Out,0.6778
Sporting Event,Hiding a Fugitive,0.6778
Bomb Shelter,Starting a Cult,0.6778
Hotel Room,Messy Breakup,0.6778
County Fair,Running Out of Gas,0.6778
Abandoned Warehouse,Investigating a Haunting,0.6778
Public Restroom,Evading Arrest,0.6778
Alien Planet,Defending Earth from aliens using only household appliances,0.6778
Hotel Room,Arguing with a Bouncer,0.6778
Funeral Home,Speed Dating,0.6777
Empty Lot,Firing a Friend,0.6777
Science Lab,Solving a Murder,0.6777
Executive's Office,Performing an Exorcism,0.6777
Maze,Emergency Evacuation,0.6777
Cabin In The Woods,Being trapped in a sleeping bag during a bear attack,0.6777
Prison Cell,Getting Ghosted,0.6777
Teacher's Lounge,First Day at a New Job,0.6776
Prison Cell,Running Out of Gas,0.6776
University Lecture Hall,Emergency Evacuation,0.6776
Grocery Store,Office Holiday Party,0.6776
Video Arcade,Office Holiday Party,0.6776
Dorm Room,3am Drunk Food Run,0.6776
Subway Train,Running from the Cops,0.6776
Run-Down Apartment,Getting Ghosted,0.6776
University Lecture Hall,Hacking a Secure System,0.6776
Cemetery,Trying to escape a maze,0.6776
Apartment Building,Performing an Exorcism,0.6775
Dorm Room,Discovering a secret room behind a bookcase,0.6775
House Party,Evading Arrest,0.6775
Police Station,Getting Locked Out,0.6775
Jungle,Lost in Translation,0.6775
Indoor Shooting Range,Solving a Murder,0.6775
Alien Planet,Discovering a Conspiracy,0.6775
Circus,Causing a Public Scene,0.6775
Underwater,Running into an Ex,0.6775
Construction Site,Running into an Ex,0.6775
Hunting Cabin,Office Holiday Party,0.6775
Run-Down Apartment,Lost in Translation,0.6775
Aquarium,Overfeeding someone else's fish until they explode,0.6774
Prison,Running Out of Gas,0.6774
Medieval Castle,Getting Locked Out,0.6774
Kitchen,Spitting out terrible food into a napkin while the chef watches,0.6774
Camp,Emergency Evacuation,0.6774
Abandoned Mine,Evading Arrest,0.6773
Secret Passageway,Discovering a Spouse's Secret,0.6773
Bank Vault,Scamming the Scammer,0.6773
Parking Lot,Speed Dating,0.6773
Bus Station,Evading Arrest,0.6773
Old Pick-Up Truck,Running from the Cops,0.6773
Fitness Center,Speed Dating,0.6773
Hotel Room,Solving a Murder,0.6773
City,Navigating a foreign city with a broken map and no language skills,0.6773
Art Gallery,Office Holiday Party,0.6772
Dorm Room,Speed Dating,0.6772
Post-Apocalyptic World,Getting Ghosted,0.6772
Sporting Event,Arguing with a Bouncer,0.6772
Car Accident Site,Escape Room Disaster,0.6772
Courtroom,Evading Arrest,0.6772
Casual Dining Restaurant,Suing a restaurant because the food was too spicy,0.6772
Executive's Office,Asking for a Demotion,0.6772
Swamp,Trying to escape a maze,0.6771
Car Accident Site,Backing over your neighbor's prized rose bush,0.6771
Online,Extreme Jet Lag,0.6771
Emergency Room,Attempting to perform open-heart surgery using a YouTube tutorial,0.677
Truck Stop,Running from the Cops,0.677
Dragon's Lair,Emergency Evacuation,0.677
Small Town,Running into an Ex,0.677
Police Car,3am Drunk Food Run,0.677
Airplane,Attempting to smuggle a wheel of cheese through airport security,0.677
Bank,Evading Arrest,0.677
Psychiatric Ward,Drunk Calling the Ex,0.677
Ghost Town,Firing a Friend,0.677
Tree House,Trying to escape a maze,0.6769
White House,Office Holiday Party,0.6769
Indoor Shooting Range,Speed Dating,0.6769
Movie Theater,First Day at a New Job,0.6769
Fast Food Restaurant,Office Holiday Party,0.6769
Small Town Street,Running from the Cops,0.6769
Birthday Party,Dropping the birthday cake right before singing,0.6769
Sporting Event,Running from the Cops,0.6768
Casual Dining Restaurant,Trying to return a half-eaten meal claiming it was poisoned,0.6768
Haunted House,Hiding a Fugitive,0.6768
Hotel Room,Trying to escape a maze,0.6768
Egyptian Pyramids,Extreme Jet Lag,0.6768
Bomb Shelter,Getting caught building a doomsday device in the garage,0.6768
Race Track (Horses),Running Out of Gas,0.6768
Bowling Alley,Alien Abduction Attempt,0.6768
War Zone,Lost in Translation,0.6768
Bank,Running Out of Gas,0.6767
Flower Shop,Getting Stood Up,0.6767
Boarding School,Getting Stood Up,0.6767
Prison Cell,Getting Friend-Zoned,0.6767
Dorm Room,Office Holiday Party,0.6767
Shopping Mall,Performing an Exorcism,0.6767
Abandoned Warehouse,Hiding a Fugitive,0.6767
Bar,Causing a Public Scene,0.6767
Convenience Store,Emergency Evacuation,0.6767
City Bus,Running from the Cops,0.6767
Beach Party,Being challenged to a dance battle by a group of teenagers,0.6766
Trailer Park,Running Out of Gas,0.6766
Secret Passageway,Planning a Prison Escape,0.6766
Rock Concert,Arguing with a Bouncer,0.6766
Run-Down Apartment,Starting a Bar Fight,0.6766
Elevator,Faking expertise in a high-level technical meeting,0.6766
Space Station,Speed Dating,0.6766
Apartment Building,Lost in Translation,0.6766
Executive's Office,Getting Locked Out,0.6766
Taxi Cab,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6765
Taxi Cab,Speed Dating,0.6765
Skate Park,Swimming in a public fountain,0.6765
Skate Park,Evading Arrest,0.6765
Living Room,Office Holiday Party,0.6765
Therapist's Office,Emergency Evacuation,0.6765
Ghost Town,Running into an Ex,0.6765
Video Arcade,Causing a Public Scene,0.6765
Run-Down Apartment,Evading Arrest,0.6765
Construction Site,Hacking a Secure System,0.6765
Rock Concert,Murder Mystery Dinner,0.6765
Graveyard,Amateur Ghost Hunting,0.6764
Igloo,Getting your tongue stuck to a frozen pole,0.6764
Prison Cell,First Day at a New Job,0.6764
Prison Cell,Losing Your Passport,0.6764
Ancient Ruins,Getting caught trying to steal a souvenir from a sacred temple,0.6764
Chicken Coop,Evading Arrest,0.6764
